PID,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
P001,357,40.88,21.18,44.57,68.73,357,11.48,88.24,75.91,61.62,11.48,3.64,0.84,0.28,0,0,2.52,7.84,19.61,10.36,1.12,12.32,12.32,7.56,9.8,1.12,17.93,8.96,5.88,3.08,0.28,1.68,1.12,23.25,0,9.8,0.28,1.12,2.52,1.68,0.28,5.6,0,3.64,3.36,0.28,0,0,0,0,0,0,0,7.28,1.4,0,0.56,0,0,0.84,3.64,0,0,0,0,0.28,0,0,0.28,4.2,0,0,2.24,2.24,0,0.84,0,0,0,0,0,0,0,0,0.28,0,0.56,0.28,0.28,0,0.84,0,0,5.32,8.4,0,1.68,6.44,0.28,0,0,5.04,3.36,8.68,0,0.84,0,0.28,0.56,0,2.52,0,0,0,0,1.12,1.4,0
P003,643,11.8,85.55,37.26,59.24,643,16.64,89.89,71.85,61.74,18.04,10.11,2.18,0.31,6.53,0,0.93,7.93,14.77,4.2,1.09,13.69,9.95,10.42,9.8,1.87,16.02,5.44,4.2,2.49,1.71,0.47,0.31,31.1,2.49,18.35,2.33,3.42,1.09,8.55,1.56,4.2,0,3.42,2.95,0.47,0.47,0.47,0,0,0,0,0,14.46,4.04,0.16,0,0,0.47,1.56,10.11,0,0.62,0,0.47,1.87,0,0,1.87,3.73,2.18,0,1.24,1.09,0.16,0.47,0,0,0,0,0,0,0.16,0,0.31,0.31,0.47,0,0,0,0,0.47,0.93,9.33,5.13,1.24,0.47,3.11,0.62,0,0.16,5.13,2.95,5.75,0.93,1.24,0.16,0.78,0.31,0,3.42,0,0,0,0,3.42,0,0
P004,741,8.16,94.03,78.15,21.89,741,11.2,96.36,81.51,67.34,19.3,12.28,1.89,4.45,4.32,0,1.62,7.02,16.33,5.13,1.48,13.5,10.8,11.07,11.47,0.94,19.43,4.99,5.53,8.37,4.45,3.91,0,29.96,0.54,16.87,5.26,2.7,1.21,4.72,0,5.4,0,2.56,1.35,1.21,1.48,0.27,1.21,0,0,0,0,13.23,1.48,0.13,0.13,0,0,1.21,11.47,0,0,0,0.13,0.27,0,0,0.27,5.26,0,0.13,4.99,0.13,0,2.02,1.08,0,0,0,0,0,0,0,0.54,0.27,0.13,0,0.13,1.08,0.4,0,0.27,13.36,7.29,0.27,0.54,5.13,0.13,0,1.48,5.4,2.43,8.37,1.62,0.4,0,0.4,0,0,0.67,0,0,0,0,0.67,0,0
P005,465,24.67,43.87,70.43,46.18,465,16.56,92.9,73.55,62.15,17.42,9.03,5.16,0.43,2.58,0,0.86,8.39,15.48,6.24,0.65,14.41,9.25,7.74,10.54,1.29,17.42,5.81,5.38,2.37,1.72,0.43,0.22,25.81,0.43,15.05,5.81,2.8,1.72,1.29,0.65,3.66,0.43,2.15,1.94,0.22,0.43,0.43,0,0,0,0,0,10.54,2.37,0.22,0.65,0,0,0.65,7.74,0.43,0.65,0,0.22,0.86,0.43,0,0.43,5.38,1.29,0,3.66,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0.43,7.31,4.52,0,1.08,2.58,0.22,0.22,0.22,4.52,6.02,5.38,0.65,0.43,0,0.43,0,0,0.86,0,0,0,0,0.86,0,0
P006,896,54.83,83.12,2.24,54.92,896,12.28,92.97,74.89,61.5,14.73,7.37,0.33,1.45,0.22,2.9,1.79,7.37,18.19,8.82,0.45,16.74,9.04,7.14,9.04,0.56,16.96,6.47,4.69,5.47,1.9,3.01,0.56,18.97,1.12,9.6,1.67,3.01,1,1.34,0.56,2.46,0,6.47,4.13,1.9,2.23,0.45,1.34,0.11,0.33,0.89,0,13.84,4.02,0.22,0.45,0.11,0.11,2.01,9.71,0.11,0,0,3.35,0.33,0,0,0.33,2.57,1.56,0.11,0.89,0,0,0.89,0.11,0,0,0.11,0,0,0.33,0.11,0.89,0.33,0.11,0,0,0,1,0.33,0.11,6.58,10.6,0.78,0.89,4.02,5.69,0,0.78,1.56,2.01,7.81,1.9,0.11,0,0.11,0,0,2.34,0,0,0,0,2.34,0,0
P008,616,60.69,53.63,35.49,52.87,616,19.81,86.53,71.75,59.09,11.53,5.84,0.49,0.32,0.97,0,3.73,5.68,17.53,8.28,3.25,15.75,8.12,8.12,8.44,0.81,12.66,8.6,6.82,5.19,0.81,2.44,2.44,21.59,0.49,12.5,2.44,2.44,0.81,2.6,1.14,4.55,0,3.08,2.6,0.49,0.16,0,0.16,0,0,0,0,7.63,0.81,0.16,0.16,0,0,0.49,6.82,0.32,0,0.16,0.32,1.14,0.65,0.32,0.16,3.25,0,0,2.76,0.16,0.49,0.65,0,0,0,0,0,0,0,0.32,0.32,0,0.16,0.16,0,0,0,0.16,0.32,5.84,7.14,0.16,0.32,6.49,0.49,0,0,2.6,4.55,3.57,0.49,0.49,0.32,0.16,0,0,1.3,0,0,0,0,1.14,0.16,0
P009,1085,18.87,50.49,35.88,70.91,1085,17.79,91.61,76.68,67,17.14,5.07,0.65,0.46,1.2,1.11,1.29,12.07,15.39,7.83,2.12,13,11.34,8.76,10.69,1.11,16.31,5.53,4.61,3.32,0.74,1.57,1.57,29.95,0.83,15.67,2.58,2.86,1.29,4.06,0.55,5.71,0,3.78,3.5,0.28,0.46,0.46,0,0,0,0,0,10.69,2.86,0,0.37,0,0,1.2,7.56,0.18,0,1.29,0.37,0.37,0.09,0,0.28,4.88,0.55,0,3.41,1.01,0.09,0.09,0,0,0,0,0,0,0,0,0,0.09,0.92,0,0,0,1.11,0.09,0.28,5.16,5.35,0.46,0.92,4.15,0.09,0,0,4.52,7.93,5.44,1.11,0.46,0.37,0.09,0,0,1.11,0,0,0,0,1.01,0.09,0
P011,675,10.19,90.48,51.82,57.28,675,17.19,94.22,79.11,61.04,22.67,10.52,1.63,2.96,4.74,0,1.04,12.15,12.59,5.48,0.89,12.44,10.96,7.85,8.15,1.63,22.81,6.22,4,5.33,3.11,2.07,0.15,32.89,1.93,19.85,6.67,3.11,2.96,2.67,1.63,4.89,0.15,5.04,3.7,1.33,1.33,1.19,0.15,0,0,0,0,13.78,2.67,0.15,0.3,0.44,0.15,1.04,10.81,0,0,0,0,0,0,0,0,2.07,0.59,0,1.48,0,0,0.3,0,0,0,0,0,0,0,0,0.59,0.89,0.74,0,0.15,0.15,0.15,0.15,0.59,9.19,8.74,0.59,1.19,4.74,0.89,2.07,0.15,2.22,1.78,9.48,0.3,0,0,0,0,0,5.19,0,0,0,0,5.04,0.15,0
P013,366,19.57,54.72,23.88,7.79,366,15.03,94.54,75.96,65.03,15.03,6.56,0.82,0,0,1.09,4.64,8.47,15.3,9.02,0.27,13.39,13.11,8.47,12.3,1.37,19.13,4.1,1.91,7.92,0.27,2.46,5.19,27.05,1.09,12.84,1.37,1.09,1.91,5.19,1.91,3.55,0,4.92,1.64,3.01,0,0,0,0,0,0,0.27,14.21,3.83,0,0.27,1.91,0,1.64,8.47,0.27,0,1.37,0,3.55,3.01,0.55,0,1.91,0,0,1.09,0,0.82,0.82,0,0,0,0,0,0.55,0,0.27,0.27,0,0.27,0,0,0,0.27,0,0.82,7.92,7.92,0,1.09,6.56,0.27,0,0,3.83,4.37,7.92,0.82,1.37,0,0.82,0.55,0,6.01,0,0,0,0,5.74,0.27,0
P014,731,18.64,21.55,91.98,47.18,731,11.76,95.08,77.15,62.38,18.19,10.81,7.11,0.68,2.74,0,0.27,7.39,12.86,6.57,1.23,12.04,12.04,8.48,6.43,1.78,22.57,3.56,5.06,1.64,1.23,0.14,0.27,26.95,1.5,13.27,3.56,1.78,2.05,2.74,1.23,3.56,0,3.97,2.87,1.09,2.33,1.78,0.55,0.27,0,0,0,7.39,2.33,0.27,0.68,0.14,0.14,1.09,5.47,0.14,0.14,0.68,0.14,0.55,0.27,0,0.27,7.25,3.69,0.27,0.82,2.74,0,0,0,0,0,0,0,0,0,0,0.41,0.14,0.96,0.27,0,0.27,0,0,0.14,10.26,11.22,1.78,2.6,6.57,1.78,0.41,0.14,4.51,3.42,7.66,3.01,0.41,0,0.41,0,0,2.6,0,0,0,0,2.05,0.55,0
P016,461,19.33,67.97,24.49,22.95,461,15.62,89.8,75.49,63.77,15.84,8.03,2.6,3.69,1.3,0,0.43,7.81,14.97,4.99,2.82,14.32,12.15,7.81,10.2,1.3,18.44,4.34,6.72,5.42,3.69,1.52,0.22,26.25,1.74,14.97,3.25,2.17,3.04,3.9,0.65,2.82,0.65,2.39,1.3,1.08,0.87,0.43,0.43,0,0,0.22,0,8.68,1.95,0,0.22,0,0.22,1.52,6.51,0,0,0,0,0.65,0.43,0.22,0,1.3,0.22,0,1.08,0,0,3.04,1.74,0.87,0,0,0.65,0,0,0,0.65,0.43,0.65,0,0,0,0,0.22,0.22,6.29,5.42,0,0.22,4.99,0.22,0,0,3.47,1.3,8.03,1.08,0.22,0,0.22,0,0,2.6,0,0,0,0,2.6,0,0
P017,164,74.37,97.94,38.17,3.01,164,18.29,94.51,66.46,57.32,10.98,9.15,0.61,0,0,3.66,4.27,1.83,19.51,10.98,1.22,14.63,3.66,4.88,14.02,0,10.98,3.05,3.66,9.15,1.83,2.44,4.88,18.29,0,10.37,3.05,1.22,0,1.22,0,3.66,0,3.66,0.61,3.05,0,0,0,0,0,0,0,21.95,1.83,0,0,1.22,0,0.61,19.51,1.83,0,7.32,3.66,3.66,2.44,1.22,0,2.44,0,0.61,1.83,0,0,3.05,0.61,0,0,0,0,0,1.22,0,0,0,0.61,0,0,0,0,1.83,0,5.49,8.54,0,2.44,4.88,1.83,0,0,5.49,4.88,4.27,0,0,0,0,0,0,0.61,0,0,0,0,0.61,0,0
